"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-01","0.00","0.0","0","58","41","43"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-02","0.00","0.0","0","54","41","51"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-03","0.02","0.0","0","60","44","44"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-04","0.00","0.0","0","64","41","43"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-05","0.00","0.0","0","60","39","44"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-06","0.00","0.0","0","62","40","45"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-07","0.00","0.0","0","65","41","46"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-08","0.00","0.0","0","60","42","50"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-09","0.00","0.0","0","74","43","63"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-10","0.00","0.0","0","75","56","62"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-11","0.00","0.0","0","84","56","72"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-12","0.00","0.0","0","86","68","72"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-13","0.00","0.0","0","85","57","60"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-14","0.00","0.0","0","89","55","63"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-15","0.00","0.0","0","85","61","63"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-16","0.00","0.0","0","82","62","62"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-17","0.00","0.0","0","83","53","57"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-18","0.00","0.0","0","83","53","66"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-19","0.00","0.0","0","82","61","61"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-20","0.00","0.0","0","83","60","69"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-21","0.06","0.0","0","71","58","57"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-22","0.02","0.0","0","68","57","60"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-23","0.15","0.0","0","64","57","59"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-24","0.05","0.0","0","61","52","51"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-25","0.00","0.0","0","60","50","51"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-26","0.00","0.0","0","60","41","41"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-27","0.00","0.0","0","66","39","46"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-28","0.00","0.0","0","70","43","54"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-29","0.00","0.0","0","76","54","67"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-30","0.00","0.0","0","83","54","56"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-01-31","0.00","0.0","0","74","52","52"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-02-01","0.00","0.0","0","64","43","52"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-02-02","0.00","0.0","0","82","52","55"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-02-03","0.00","0.0","0","82","49","49"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-02-04","0.00","0.0","0","80","47","55"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-02-05","0.96","0.0","0","59","52","53"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-02-06","0.72","0.0","0","59","50","50"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-02-07","0.39","0.0","0","59","45","45"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-02-08","0.02","0.0","0","60","43","52"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-02-09","0.53","0.0","0","58","45","48"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-02-10","0.00","0.0","0","59","38","41"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-02-11","0.00","0.0","0","58","37","44"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-02-12","0.00","0.0","0","59","40","44"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-02-13","0.48","0.0","0","53","40","41"
"USC00046572","OXNARD WEATHER FORECAST OFFICE, CA US","2009-02-14","0.00","0.0","0","57","37","41"
