"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-01","4.25"," 1214"," 1214","0.00",,,"64","76","52","  230","  220","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-02","4.03"," 1332"," 1331","0.00",,,"61","69","53","  220","  220","14.1","17.9"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-03","4.47"," 1257"," 1242","0.00",,,"61","69","52","  260","  250","14.1","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-04","4.03"," 1518"," 1406","0.00",,,"62","74","49","  260","  250","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-05","6.04"," 1334"," 1332","0.00",,,"63","74","51","  240","  250","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-06","5.82"," 1539"," 1331","0.00",,,"62","72","51","  250","  250","15.0","17.9"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-07","7.16"," 0943"," 0943","0.00",,,"68","87","49","   50","   50","21.9","25.9"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-08","5.14"," 1118"," 1117","0.00",,,"76","99","53","   60","   70","17.0","19.9"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-09","3.58"," 1235"," 1226","0.00",,,"71","86","56","  210","  220","11.0","14.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-10","3.80"," 1232"," 1232","0.00",,,"70","85","55","  240","  240","11.0","14.1"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-11","3.80"," 1147"," 1145","0.00",,,"64","78","49","  240","  250","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-12","4.47"," 1532"," 1520","0.00",,,"66","83","48","  250","  250","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-13","3.58"," 1240"," 1439","0.00",,,"64","79","49","  250","  220","11.0","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-14","5.59"," 1540"," 1538","0.00",,,"63","76","50","  260","  270","13.0","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","1999-10-15","5.37"," 1332"," 1331","0.00",,,"64","71","56","  210","  210","15.0","19.9"
