"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-01","3.13"," 1410","0.00",,,,"57","38","   50","  260","8.1","8.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-02","2.01"," 1402","0.00",,,,"52","38","  260","  260","8.9","10.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-03","4.25"," 1338","0.01",,,,"59","41","  220","  260","12.1","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-04","12.08"," 0844","0.00",,,,"61","36","   60","   80","29.1","36.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-05","3.80"," 2244","0.00",,,,"57","33","   70","  110","12.1","15.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-06","2.91"," 1222","0.00",,,,"60","35","   50","  220","10.1","13.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-07","2.01"," 1251","0.00",,,,"64","37","  210","  220","10.1","12.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-08","2.68"," 1334","0.00",,,,"60","38","  250","  270","8.1","12.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-09","18.79"," 2029","0.00",,,,"72","41","   80","   80","38.9","51.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-10","21.70"," 0310","0.00",,,,"72","51","   70","   70","38.9","48.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-11","10.51"," 2357","0.00",,,,"84","54","   80","   60","23.9","29.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-12","22.59"," 1552","0.00",,,,"83","67","   70","   50","38.0","49.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-13","16.11"," 0424","0.00",,,,"82","51","   70","   80","35.1","44.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-14","10.74"," 2204","0.00",,,,"88","51","   70","   80","23.0","28.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-15","13.42"," 0924","0.00",,,,"83","57","   60","   50","25.1","32.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-16","16.33"," 1418","0.00",,,,"80","59","   60","   60","25.9","33.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-17","8.50"," 1201","0.00",,,,"82","48","   70","   70","19.9","23.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-18","15.43"," 0948","0.00",,,,"81","58","   60","   70","25.1","32.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-19","12.97"," 1127","0.00",,,,"81","59","   80","   80","21.9","25.9"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-20","8.28"," 2341","0.00",,,,"84","57","  100","   90","10.1","12.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-21","4.92"," 1434","0.06",,,,"73","57","   80","  200","15.0","16.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-22","5.82"," 1515","0.09",,,,"66","55","   80","  120","14.1","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-23","3.58"," 0848","0.10",,,,"64","54","   70","  270","10.1","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-24","4.47"," 1257","0.01",,,,"62","51","  270","  270","15.0","17.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-25","7.61"," 1344","0.00",,,,"60","45","  270","  270","23.0","28.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-26","7.16"," 1436","0.00",,,,"58","40","  260","  270","15.0","18.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-27","10.07"," 0944","0.00",,,,"64","36","   80","   80","29.1","33.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-28","4.92"," 2352","0.00",,,,"69","35","   80","   70","17.0","21.0"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-29","18.57"," 1023","0.00",,,,"76","57","   50","   60","38.0","52.1"
"USW00023136","CAMARILLO AIRPORT, CA US","2009-01-30","12.75"," 0939","0.00",,,,"80","45","   60","   60","30.0","38.0"
